Fecha,CR,Suma,Alajuela,San Jose,Santa Ana,Escazu,Desamparados,Grecia,Tibas,Goicoechea,Heredia,San Carlos,Moravia,Curridabat,La Union,Poas,Cartago,San Pablo,Montes de Oca,Nicoya,Perez Zeledon,Santo Domingo,San Rafael,Orotina,Garabito,Valverde Vega,Oreamuno,San Ramon,Santa Cruz,Barva,Atenas,Santa Barbara,Coronado,Aserri,Coto Brus,Jimenez,Montes de Oro,Puntarenas,El Guarco,Belen,Flores,Limon,Palmares,Liberia,Alvarado,Tilaran,Mora,Puriscal,Tarrazu,Carrillo,Desconocido,San Vito
2020-03-15,35,35,9,3,2,4,4,2,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,,,,2,1,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,,,0,0
2020-03-16,41,41,12,4,2,5,4,2,1,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,,,,2,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,,,0,0
2020-03-17,50,50,13,6,3,5,4,3,1,0,1,0,0,1,1,1,1,1,0,1,3,0,0,0,0,,,,2,1,1,0,0,0,0,0,0,0,,1,0,0,0,0,0,,,,,,0,0
2020-03-18,69,69,15,10,3,6,4,3,1,1,1,0,1,2,2,2,3,1,0,1,3,1,0,0,0,,,,2,1,1,1,0,0,0,0,0,0,,1,2,0,0,0,0,,,,,,1,0
2020-03-19,89,87,18,14,3,9,4,3,1,1,4,0,1,3,2,4,4,3,0,1,3,1,0,0,0,,,,2,2,1,1,0,0,0,0,0,0,,,,1,0,0,0,,,,,,1,0
2020-03-20,113,113,22,13,6,11,5,5,1,1,4,2,3,5,2,4,4,3,2,2,3,1,0,0,0,,,,2,1,1,1,1,0,0,0,0,0,,,,1,0,0,0,,,,,,7,0
2020-03-21,117,117,25,12,7,11,4,5,2,,4,2,4,5,5,5,4,3,3,3,3,1,1,0,0,,,,2,1,1,1,2,0,0,0,0,0,,,,1,0,0,0,,,,,,0,0
2020-03-22,134,134,26,17,11,11,4,5,3,,4,2,5,5,5,5,4,4,3,3,3,1,2,0,0,,,,2,1,2,1,2,1,0,0,0,0,,,,1,0,0,0,,,,,,0,1
2020-03-23,158,158,28,17,14,11,5,5,5,7,6,3,6,5,6,5,4,4,3,3,3,1,2,0,0,,,,2,1,2,2,2,2,2,0,0,0,,,,1,1,0,0,,,,,,0,
2020-03-24,177,177,35,18,13,13,5,7,6,7,7,5,6,5,6,5,4,4,3,3,3,1,2,0,0,,,,2,1,2,2,2,2,2,2,1,0,,,,1,1,1,0,,,,,,0,
2020-03-25,201,201,36,21,14,13,7,7,10,8,9,5,6,5,6,5,4,4,5,3,3,2,2,1,2,,,,2,1,2,2,2,2,2,2,1,1,,1,1,1,1,1,1,,,,,,0,
2020-03-26,231,231,45,23,16,13,8,9,12,8,9,6,6,5,6,5,5,4,5,3,3,3,2,1,2,2,2,,2,1,2,2,2,2,2,2,1,3,2,1,1,1,1,1,1,1,,,,,0,
2020-03-27,263,263,46,26,16,14,12,11,11,9,9,8,7,7,6,6,5,5,5,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0,
